Product ID;Customer ID;Seller ID;Type;Name;Quantity;Price;Total;Status
105T;19127002;19127001;2;Gucci;100;100;10000;2
103T;19127002;19127002;3;tai nghe khong day;100;40;4000;1
104T;19127002;19127002;2;Gucci;100;300;30000;1
103T;19127002;19127002;3;tai nghe khong day;100;12;1200;2
101T;19127005;19127002;1;Banh Trung Thu;40;10;400;1
102T;19127007;19127004;1;keo bac ha;900;8.4;7560;1
107H;19127002;19127004;1;Milk Tea;500;10;5000;2
101T;19127006;19127002;1;Moon Cake;100;7;700;2
105T;19127008;19127001;2;Channel perfume;10;70;700;0
538E;19127008;19127002;3;Macbook Pro 2020;1;5e+07;5e+07;0
104T;19127008;19127002;2;Gucci;1;1000;1000;0
102T;19127008;19127004;1;Mint Candy;20;12;240;0
